,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity,csvfile
0,LOG,2018-09-01T12:57:00.948Z,GRAVITY,wgv,wgv,wgv,bob_ins,146,seq,,,,OB finished (TERMINATED) in 9592 seconds at 2018-09-01T12:57:00,0,0,,,/datalake/processeddata/csv-vltlogs/2018/09/log_wgv.2018-09-01.csv
1,LOG,2018-09-01T06:47:05.495Z,GRAVITY,wgv,wgv,wgv,bob_30704,61,seq,,,,OB started at 2018-09-01T06:47:05,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-31.csv
2,LOG,2018-09-01T08:19:38.569Z,GRAVITY,wgv,wgv,wgv,bob_30704,61,seq,,,,(OBS.NAME: BetaPic_b // OBS.ID: 2176338),0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-31.csv
3,LOG,2018-09-01T08:02:49.536Z,GRAVITY,wgv,wgv,wgv,bob_30704,61,seq,,,,OB paused at 2018-09-01T08:02:49,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-31.csv
4,LOG,2018-09-01T08:03:20.661Z,GRAVITY,wgv,wgv,wgv,bob_30704,61,seq,,,,OB continued at 2018-09-01T08:03:20,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-31.csv
5,LOG,2018-09-01T10:06:17.560Z,GRAVITY,wgv,wgv,wgv,bob_30704,61,seq,,,,ACK ABORT (red),0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-31.csv
6,LOG,2018-09-01T09:55:24.987Z,GRAVITY,wgv,wgv,wgv,bob_30704,61,seq,,,,OB started at 2018-09-01T09:55:24,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-31.csv
7,LOG,2018-09-01T10:17:08.770Z,GRAVITY,wgv,wgv,wgv,bob_ins,146,seq,,,,OB started at 2018-09-01T10:17:08,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-31.csv
8,LOG,2018-09-01T08:32:08.024Z,GRAVITY,wgv,wgv,wgv,bob_30704,61,seq,,,,OB paused at 2018-09-01T08:32:08,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-31.csv
9,LOG,2018-09-01T08:34:54.826Z,GRAVITY,wgv,wgv,wgv,bob_30704,61,seq,,,,OB paused at 2018-09-01T08:34:54,0,0,,,/datalake/processeddata/csv-vltlogs/2018/08/log_wgv.2018-08-31.csv
