,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity,keywmask
0,LOG,2019-01-28T18:26:52.244Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB started at 2019-01-28T18:26:52,0,0,,,
1,LOG,2019-01-28T00:09:51.580Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD21552_MED_SPLIT // OBS.ID: 200452108),0,0,,,
2,LOG,2019-01-28T00:12:09.941Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD21552_MED_SPLIT // OBS.ID: 200452108),0,0,,,
3,LOG,2019-01-28T00:21:08.298Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:21:08,0,0,,,
4,LOG,2019-01-28T00:21:08.298Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD21552_MED_SPLIT // OBS.ID: 200452108),0,0,,,
5,LOG,2019-01-29T03:31:39.671Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB finished (TERMINATED) in 1312 seconds at 2019-01-29T03:31:39,0,0,,,
6,LOG,2019-01-28T00:15:52.737Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 13 seconds at 2019-01-28T00:15:47,0,0,,,
7,LOG,2019-01-28T00:20:07.092Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 13 seconds at 2019-01-28T00:20:02,0,0,,,
8,LOG,2019-01-29T02:09:05.414Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB started at 2019-01-29T02:09:05,0,0,,,
9,LOG,2019-01-27T21:04:13.369Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB continued at 2019-01-27T21:04:13,0,0,,,
10,LOG,2019-01-28T00:21:49.792Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 14 seconds at 2019-01-28T00:21:22,0,0,,,
11,LOG,2019-01-28T00:30:11.118Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD26311_MED_SPLIT // OBS.ID: 200452168),0,0,,,
12,LOG,2019-01-28T00:33:07.447Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD26311_MED_SPLIT // OBS.ID: 200452168),0,0,,,
13,LOG,2019-01-28T00:30:11.118Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:30:11,0,0,,,
14,LOG,2019-01-28T00:35:31.088Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,ACK ABORT (red),0,0,,,
15,LOG,2019-01-28T00:35:57.561Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: M05_HD26820_MED_SPLIT // OBS.ID: 200454097),0,0,,,
16,LOG,2019-01-29T03:09:47.327Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB started at 2019-01-29T03:09:47,0,0,,,
17,LOG,2019-01-29T03:09:28.852Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB finished (TERMINATED) in 1221 seconds at 2019-01-29T03:09:28,0,0,,,
18,LOG,2019-01-31T00:59:17.564Z,GRAVITY,wgv,wgv,wgv,bob_ins,47,seq,,,,OB aborted after 572 seconds at 2019-01-31T00:57:55,0,0,,,
19,LOG,2019-01-31T01:00:58.947Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB started at 2019-01-31T01:00:58,0,0,,,
20,LOG,2019-01-31T01:00:58.947Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
21,LOG,2019-01-31T01:10:19.191Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB aborted after 541 seconds at 2019-01-31T01:09:59,0,0,,,
22,LOG,2019-01-31T01:13:13.136Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
23,LOG,2019-01-29T22:41:00.171Z,GRAVITY,wgv,wgv,wgv,bob_14914,28,seq,,,,OB finished (TERMINATED) in 5245 seconds at 2019-01-29T22:41:00,0,0,,,
24,LOG,2019-01-31T00:48:23.748Z,GRAVITY,wgv,wgv,wgv,bob_ins,47,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
25,LOG,2019-01-31T00:30:05.447Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB aborted after 708 seconds at 2019-01-31T00:26:58,0,0,,,
26,LOG,2019-01-31T01:14:39.660Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB aborted after 32 seconds at 2019-01-31T01:13:45,0,0,,,
27,LOG,2019-01-31T01:15:57.682Z,GRAVITY,wgv,wgv,wgv,bob_26520,91,seq,,,,OB started at 2019-01-31T01:15:57,0,0,,,
28,LOG,2019-01-30T17:48:25.509Z,GRAVITY,wgv,wgv,wgv,bob_15075,94,seq,,,,OB started at 2019-01-30T17:48:25,0,0,,,
29,LOG,2019-01-30T17:48:25.509Z,GRAVITY,wgv,wgv,wgv,bob_15075,94,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
30,LOG,2019-01-30T18:03:54.252Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,
31,LOG,2019-01-30T18:21:11.802Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,OB started at 2019-01-30T18:21:11,0,0,,,
32,LOG,2019-01-30T18:22:03.564Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,OB started at 2019-01-30T18:22:03,0,0,,,
33,LOG,2019-01-30T19:20:33.844Z,GRAVITY,wgv,wgv,wgv,bob_31607,136,seq,,,,OB finished (TERMINATED) in 2885 seconds at 2019-01-30T19:20:33,0,0,,,
