,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity
0,LOG,2019-01-28T00:09:51.580Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD21552_MED_SPLIT // OBS.ID: 200452108),0,0,,
1,LOG,2019-01-28T00:12:09.941Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD21552_MED_SPLIT // OBS.ID: 200452108),0,0,,
2,LOG,2019-01-28T00:21:08.298Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:21:08,0,0,,
3,LOG,2019-01-28T00:21:08.298Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD21552_MED_SPLIT // OBS.ID: 200452108),0,0,,
4,LOG,2019-01-28T00:15:52.737Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 13 seconds at 2019-01-28T00:15:47,0,0,,
5,LOG,2019-01-28T00:20:07.092Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 13 seconds at 2019-01-28T00:20:02,0,0,,
6,LOG,2019-01-28T00:21:49.792Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 14 seconds at 2019-01-28T00:21:22,0,0,,
7,LOG,2019-01-28T00:30:11.118Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD26311_MED_SPLIT // OBS.ID: 200452168),0,0,,
8,LOG,2019-01-28T00:33:07.447Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD26311_MED_SPLIT // OBS.ID: 200452168),0,0,,
9,LOG,2019-01-28T00:30:11.118Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:30:11,0,0,,
10,LOG,2019-01-28T00:35:31.088Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,ACK ABORT (red),0,0,,
11,LOG,2019-01-28T00:35:57.561Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: M05_HD26820_MED_SPLIT // OBS.ID: 200454097),0,0,,
12,LOG,2019-01-28T01:11:43.305Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB finished (TERMINATED) in 1951 seconds at 2019-01-28T01:11:43,0,0,,
13,LOG,2019-01-28T00:29:02.554Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 13 seconds at 2019-01-28T00:28:57,0,0,,
14,LOG,2019-01-28T00:31:30.089Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 14 seconds at 2019-01-28T00:30:25,0,0,,
15,LOG,2019-01-28T00:28:44.950Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:28:44,0,0,,
16,LOG,2019-01-28T00:12:50.120Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 17 seconds at 2019-01-28T00:12:26,0,0,,
17,LOG,2019-01-28T00:13:43.435Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 12 seconds at 2019-01-28T00:13:41,0,0,,
18,LOG,2019-01-28T00:19:49.410Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD21552_MED_SPLIT // OBS.ID: 200452108),0,0,,
19,LOG,2019-01-28T00:09:51.580Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:09:51,0,0,,
20,LOG,2019-01-28T00:19:49.410Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:19:49,0,0,,
21,LOG,2019-01-28T04:25:39.027Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB started at 2019-01-28T04:25:39,0,0,,
22,LOG,2019-01-28T04:25:39.028Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,(OBS.NAME: CAL_HIP34975_forRCnc // OBS.ID: 2093533),0,0,,
23,LOG,2019-01-28T08:21:13.352Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB paused at 2019-01-28T08:21:13,0,0,,
24,LOG,2019-01-28T07:42:29.922Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB paused at 2019-01-28T07:42:29,0,0,,
25,LOG,2019-01-28T05:19:55.647Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB finished (TERMINATED) in 1577 seconds at 2019-01-28T05:19:55,0,0,,
26,LOG,2019-01-28T04:14:06.019Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB aborted after 519 seconds at 2019-01-28T04:14:06,0,0,,
27,LOG,2019-01-28T04:25:35.234Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,ACK ABORT (red),0,0,,
28,LOG,2019-01-28T04:53:31.284Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB finished (TERMINATED) in 1672 seconds at 2019-01-28T04:53:31,0,0,,
29,LOG,2019-01-28T04:53:38.505Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,(OBS.NAME: SCI_RCnc // OBS.ID: 2093536),0,0,,
30,LOG,2019-01-28T00:11:47.471Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 104 seconds at 2019-01-28T00:11:35,0,0,,
31,LOG,2019-01-28T00:12:09.941Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:12:09,0,0,,
32,LOG,2019-01-28T00:13:29.030Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:13:29,0,0,,
33,LOG,2019-01-28T00:13:29.030Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD21552_MED_SPLIT // OBS.ID: 200452108),0,0,,
34,LOG,2019-01-28T00:15:34.423Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:15:34,0,0,,
35,LOG,2019-01-28T00:15:34.424Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD21552_MED_SPLIT // OBS.ID: 200452108),0,0,,
36,LOG,2019-01-28T00:28:44.950Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: B02_HD21552_MED_SPLIT // OBS.ID: 200452108),0,0,,
37,LOG,2019-01-28T00:33:07.447Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:33:07,0,0,,
38,LOG,2019-01-28T00:35:31.097Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 144 seconds at 2019-01-28T00:35:31,0,0,,
39,LOG,2019-01-28T00:35:57.561Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:35:57,0,0,,
40,LOG,2019-01-28T00:37:28.831Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB aborted after 14 seconds at 2019-01-28T00:36:11,0,0,,
41,LOG,2019-01-28T00:39:12.874Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:39:12,0,0,,
42,LOG,2019-01-28T00:39:12.874Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,(OBS.NAME: M05_HD26820_MED_SPLIT // OBS.ID: 200454097),0,0,,
43,LOG,2019-01-28T08:55:59.809Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,ACK ABORT (red),0,0,,
44,LOG,2019-01-28T08:57:35.623Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB aborted after 20 seconds at 2019-01-28T08:56:24,0,0,,
45,LOG,2019-01-28T08:58:58.214Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB aborted after 20 seconds at 2019-01-28T08:57:59,0,0,,
46,LOG,2019-01-28T08:33:34.239Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB finished (TERMINATED) in 3747 seconds at 2019-01-28T08:33:34,0,0,,
47,LOG,2019-01-28T08:56:04.178Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,(OBS.NAME: SCI_AlphaCenAB-swap-20190121A // OBS.ID: 2176861),0,0,,
48,LOG,2019-01-28T08:57:39.731Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB started at 2019-01-28T08:57:39,0,0,,
49,LOG,2019-01-28T08:57:39.731Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,(OBS.NAME: SCI_AlphaCenAB-swap-20190121A // OBS.ID: 2176861),0,0,,
50,LOG,2019-01-28T08:59:09.315Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB started at 2019-01-28T08:59:09,0,0,,
51,LOG,2019-01-28T04:14:06.003Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,ERROR: ACK ABORT (red),0,0,,
52,LOG,2019-01-28T04:14:06.006Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,ACK ABORT (red),0,0,,
