,@timestamp,logtype,system,loghost,hostname,envname,procname,procid,module,keywname,keywvalue,keywmask,logtext,errstack,errstackidx,errlocation,errseverity
0,2019-07-07T20:20:31.994,LOG,GRAVITY,wgv,wgv,wgv,bob_38488,110,seq,,,,OB finished (TERMINATED) in 3451 seconds at 2019-07-07T20:20:31,0,0,,
1,2019-07-12T13:00:40.330,LOG,GRAVITY,wgv,wgv,wgv,bob_31160,121,seq,,,,OB started at 2019-07-12T13:00:40,0,0,,
2,2019-07-12T13:00:40.330,LOG,GRAVITY,wgv,wgv,wgv,bob_31160,121,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,
3,2019-07-12T13:28:57.481,LOG,GRAVITY,wgv,wgv,wgv,bob_31160,121,seq,,,,OB aborted after 98 seconds at 2019-07-12T13:28:43,0,0,,
4,2019-07-12T14:21:37.917,LOG,GRAVITY,wgv,wgv,wgv,bob_24068,110,seq,,,,OB paused at 2019-07-12T14:21:37,0,0,,
5,2019-07-12T14:23:09.391,LOG,GRAVITY,wgv,wgv,wgv,bob_24068,110,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,
6,2019-07-12T13:22:54.283,LOG,GRAVITY,wgv,wgv,wgv,bob_31160,121,seq,,,,OB aborted after 180 seconds at 2019-07-12T13:18:45,0,0,,
7,2019-07-12T13:27:05.933,LOG,GRAVITY,wgv,wgv,wgv,bob_31160,121,seq,,,,OB started at 2019-07-12T13:27:05,0,0,,
8,2019-07-08T13:25:58.429,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,187,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,
9,2019-07-12T19:56:18.873,LOG,GRAVITY,wgv,wgv,wgv,bob_24068,110,seq,,,,OB aborted after 0 seconds at 2019-07-12T19:56:16,0,0,,
10,2019-07-12T19:55:54.798,LOG,GRAVITY,wgv,wgv,wgv,bob_24068,110,seq,,,,OB aborted after 0 seconds at 2019-07-12T19:55:51,0,0,,
11,2019-07-08T09:28:50.414,LOG,GRAVITY,wgv,wgv,wgv,bob_ft,193,seq,,,,OB aborted after 127 seconds at 2019-07-08T09:27:54,0,0,,
12,2019-07-08T06:58:17.098,LOG,GRAVITY,wgv,wgv,wgv,bob_32532,213,seq,,,,OB paused at 2019-07-08T06:58:17,0,0,,
13,2019-07-12T20:56:13.890,LOG,GRAVITY,wgv,wgv,wgv,bob_747,235,seq,,,,OB started at 2019-07-12T20:56:13,0,0,,
