,@timestamp,logtype,system,loghost,hostname,envname,procname,procid,module,keywname,keywvalue,keywmask,logtext,errstack,errstackidx,errlocation,errseverity
0,2020-02-23T03:39:31.187,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,(OBS.NAME: SCI_IRAS_08544_4431_GRAVITY_medium_LOW-COMBINED // OBS.ID: 2533229),0,0,,
1,2020-02-23T03:43:26.174,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,ERROR: ACK ABORT (red),0,0,,
2,2020-02-23T03:43:26.256,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB aborted after 235 seconds at 2020-02-23T03:43:26,0,0,,
3,2020-02-22T21:56:55.583,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,
4,2020-02-23T01:20:52.998,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,(OBS.NAME: SCI_PS_Gem_GRAVITY_medium_HIGH-COMBINED // OBS.ID: 2535302),0,0,,
5,2020-02-23T02:21:44.192,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB finished (TERMINATED) in 1449 seconds at 2020-02-23T02:21:44,0,0,,
6,2020-02-23T01:57:35.390,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB started at 2020-02-23T01:57:35,0,0,,
7,2020-02-23T02:22:18.352,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB started at 2020-02-23T02:22:18,0,0,,
8,2020-02-23T02:22:18.352,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,(OBS.NAME: SCI_U_Mon_GRAVITY_medium_LOW-COMBINED // OBS.ID: 2533156),0,0,,
9,2020-02-23T02:02:59.747,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB paused at 2020-02-23T02:02:59,0,0,,
10,2020-02-23T01:57:25.513,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB finished (TERMINATED) in 2193 seconds at 2020-02-23T01:57:25,0,0,,
11,2020-02-23T02:50:43.858,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB finished (TERMINATED) in 1705 seconds at 2020-02-23T02:50:43,0,0,,
12,2020-02-23T02:50:51.016,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,(OBS.NAME: CAL_HD_60139_GRAVITY_medium_LOW-COMBINED // OBS.ID: 2534783),0,0,,
13,2020-02-23T02:55:56.303,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB paused at 2020-02-23T02:55:56,0,0,,
14,2020-02-23T03:19:42.134,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB started at 2020-02-23T03:19:42,0,0,,
15,2020-02-23T03:23:02.365,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB started at 2020-02-23T03:23:02,0,0,,
16,2020-02-23T03:22:57.727,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB aborted after 67 seconds at 2020-02-23T03:20:49,0,0,,
17,2020-02-22T12:28:29.890,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,166,seq,,,,OB finished (TERMINATED) in 483 seconds at 2020-02-22T12:28:29,0,0,,
18,2020-02-22T12:28:29.949,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,166,seq,,,,OB started at 2020-02-22T12:28:29,0,0,,
19,2020-02-22T12:20:26.695,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,166,seq,,,,OB started at 2020-02-22T12:20:26,0,0,,
20,2020-02-23T14:33:46.630,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,OB started at 2020-02-23T14:33:46,0,0,,
21,2020-02-23T14:23:51.107,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,OB started at 2020-02-23T14:23:51,0,0,,
22,2020-02-23T14:25:35.116,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,OB started at 2020-02-23T14:25:35,0,0,,
23,2020-02-23T11:59:39.928,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,OB finished (TERMINATED) in 5592 seconds at 2020-02-23T11:59:39,0,0,,
24,2020-02-23T19:48:54.563,LOG,GRAVITY,wgv,wgv,wgv,bob_11085,60,seq,,,,OB started at 2020-02-23T19:48:54,0,0,,
25,2020-02-23T19:48:54.563,LOG,GRAVITY,wgv,wgv,wgv,bob_11085,60,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,
26,2020-02-22T22:58:03.232,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB finished (TERMINATED) in 3668 seconds at 2020-02-22T22:58:03,0,0,,
27,2020-02-22T22:20:47.081,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB continued at 2020-02-22T22:20:47,0,0,,
28,2020-02-23T01:20:52.997,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB started at 2020-02-23T01:20:52,0,0,,
29,2020-02-23T02:03:02.422,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB continued at 2020-02-23T02:03:02,0,0,,
30,2020-02-23T02:32:02.089,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB continued at 2020-02-23T02:32:02,0,0,,
31,2020-02-23T03:14:38.082,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB finished (TERMINATED) in 1427 seconds at 2020-02-23T03:14:38,0,0,,
32,2020-02-23T02:31:58.992,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB paused at 2020-02-23T02:31:58,0,0,,
33,2020-02-23T15:14:50.628,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,OB finished (TERMINATED) in 2464 seconds at 2020-02-23T15:14:50,0,0,,
34,2020-02-23T03:14:45.813,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,(OBS.NAME: SCI_IRAS_08544_4431_GRAVITY_medium_LOW-COMBINED // OBS.ID: 2533229),0,0,,
35,2020-02-23T03:18:19.215,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB aborted after 155 seconds at 2020-02-23T03:17:20,0,0,,
36,2020-02-23T03:43:26.181,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,ACK ABORT (red),0,0,,
37,2020-02-23T01:57:35.390,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,(OBS.NAME: CAL_HD_52998_GRAVITY_medium_HIGH-COMBINED // OBS.ID: 2535305),0,0,,
38,2020-02-22T12:28:29.949,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,166,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,
39,2020-02-23T10:26:27.338,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,OB finished (TERMINATED) in 569 seconds at 2020-02-23T10:26:27,0,0,,
40,2020-02-23T10:26:27.398,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,OB started at 2020-02-23T10:26:27,0,0,,
41,2020-02-23T10:16:58.267,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,OB started at 2020-02-23T10:16:58,0,0,,
42,2020-02-22T22:19:39.379,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB paused at 2020-02-22T22:19:39,0,0,,
43,2020-02-22T21:56:55.583,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB started at 2020-02-22T21:56:55,0,0,,
44,2020-02-23T01:16:45.295,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB started at 2020-02-23T01:16:45,0,0,,
45,2020-02-23T01:16:45.295,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,(OBS.NAME: SCI_PS_Gem_GRAVITY_medium_HIGH-COMBINED // OBS.ID: 2535302),0,0,,
46,2020-02-23T01:38:31.073,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB paused at 2020-02-23T01:38:31,0,0,,
47,2020-02-23T01:20:06.060,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB aborted after 151 seconds at 2020-02-23T01:19:16,0,0,,
48,2020-02-23T01:38:35.448,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB continued at 2020-02-23T01:38:35,0,0,,
49,2020-02-22T12:20:26.695,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,166,seq,,,,(OBS.NAME: ToO calibrations // OBS.ID: 200385148),0,0,,
50,2020-02-22T13:09:23.716,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,166,seq,,,,OB finished (TERMINATED) in 2454 seconds at 2020-02-22T13:09:23,0,0,,
51,2020-02-23T03:14:45.813,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB started at 2020-02-23T03:14:45,0,0,,
52,2020-02-23T03:23:02.365,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,(OBS.NAME: SCI_IRAS_08544_4431_GRAVITY_medium_LOW-COMBINED // OBS.ID: 2533229),0,0,,
53,2020-02-23T03:39:31.186,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB started at 2020-02-23T03:39:31,0,0,,
54,2020-02-23T03:26:16.070,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB aborted after 59 seconds at 2020-02-23T03:24:01,0,0,,
55,2020-02-23T03:19:42.134,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,(OBS.NAME: SCI_IRAS_08544_4431_GRAVITY_medium_LOW-COMBINED // OBS.ID: 2533229),0,0,,
56,2020-02-23T02:50:51.016,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB started at 2020-02-23T02:50:51,0,0,,
57,2020-02-23T02:56:01.265,LOG,GRAVITY,wgv,wgv,wgv,bob_5806,84,seq,,,,OB continued at 2020-02-23T02:56:01,0,0,,
58,2020-02-23T10:16:58.267,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,(OBS.NAME: ToO calibrations // OBS.ID: 200385148),0,0,,
59,2020-02-23T10:26:27.398,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,
60,2020-02-23T14:23:51.107,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,
61,2020-02-23T21:18:17.111,LOG,GRAVITY,wgv,wgv,wgv,bob_4954,112,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,
62,2020-02-23T14:33:46.630,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,
63,2020-02-23T21:08:25.213,LOG,GRAVITY,wgv,wgv,wgv,bob_11085,60,seq,,,,OB started at 2020-02-23T21:08:25,0,0,,
64,2020-02-23T21:29:59.235,LOG,GRAVITY,wgv,wgv,wgv,bob_4954,112,seq,,,,OB aborted after 41 seconds at 2020-02-23T21:28:40,0,0,,
65,2020-02-23T14:25:10.209,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,OB aborted after 77 seconds at 2020-02-23T14:25:08,0,0,,
66,2020-02-23T14:25:35.116,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,(OBS.NAME: ToO calibrations // OBS.ID: 200385148),0,0,,
67,2020-02-23T14:33:46.573,LOG,GRAVITY,wgv,wgv,wgv,bob_ins,229,seq,,,,OB finished (TERMINATED) in 491 seconds at 2020-02-23T14:33:46,0,0,,
68,2020-02-23T20:39:32.052,LOG,GRAVITY,wgv,wgv,wgv,bob_11085,60,seq,,,,OB started at 2020-02-23T20:39:32,0,0,,
69,2020-02-23T20:39:32.052,LOG,GRAVITY,wgv,wgv,wgv,bob_11085,60,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,
70,2020-02-23T20:35:22.800,LOG,GRAVITY,wgv,wgv,wgv,bob_11085,60,seq,,,,OB aborted after 2616 seconds at 2020-02-23T20:32:30,0,0,,
71,2020-02-23T20:39:57.956,LOG,GRAVITY,wgv,wgv,wgv,bob_11085,60,seq,,,,OB aborted after 4 seconds at 2020-02-23T20:39:36,0,0,,
72,2020-02-23T21:06:03.834,LOG,GRAVITY,wgv,wgv,wgv,bob_11085,60,seq,,,,OB started at 2020-02-23T21:06:03,0,0,,
73,2020-02-23T21:06:41.436,LOG,GRAVITY,wgv,wgv,wgv,bob_11085,60,seq,,,,OB aborted after 29 seconds at 2020-02-23T21:06:32,0,0,,
74,2020-02-23T21:27:59.139,LOG,GRAVITY,wgv,wgv,wgv,bob_4954,112,seq,,,,OB started at 2020-02-23T21:27:59,0,0,,
75,2020-02-23T21:27:59.139,LOG,GRAVITY,wgv,wgv,wgv,bob_4954,112,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,
76,2020-02-23T21:39:22.358,LOG,GRAVITY,wgv,wgv,wgv,bob_4954,112,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,
