,@timestamp,logtype,system,loghost,hostname,envname,procname,procid,module,keywname,keywvalue,keywmask,logtext,errstack,errstackidx,errlocation,errseverity
0,2019-12-17T23:41:32.856,LOG,HAWKI,whf,whf,whf,bob_near,47,seq,,,,OB started at 2019-12-17T23:41:32,0,0,,
1,2019-12-18T03:56:48.090,LOG,HAWKI,whf,whf,whf,bob_ins,174,seq,,,,OB aborted after 62 seconds at 2019-12-18T03:56:45,0,0,,
2,2019-12-18T03:19:05.569,LOG,HAWKI,whf,whf,whf,bob_near,54,seq,,,,OB started at 2019-12-18T03:19:05,0,0,,
3,2019-12-18T03:46:39.228,LOG,HAWKI,whf,whf,whf,bob_ins,174,seq,,,,OB aborted after 27 seconds at 2019-12-18T03:46:36,0,0,,
4,2019-12-18T03:55:43.897,LOG,HAWKI,whf,whf,whf,bob_ins,174,seq,,,,OB started at 2019-12-18T03:55:43,0,0,,
5,2019-12-18T03:55:43.897,LOG,HAWKI,whf,whf,whf,bob_ins,174,seq,,,,(OBS.NAME: Touchstone-S90013_Staring // OBS.ID: 200346737),0,0,,
6,2019-12-18T03:46:09.933,LOG,HAWKI,whf,whf,whf,bob_ins,174,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,
7,2019-12-17T05:56:24.435,LOG,HAWKI,whf,whf,whf,bob_near,169,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,
8,2019-12-18T00:17:56.865,LOG,HAWKI,whf,whf,whf,bob_near,47,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,
9,2019-12-18T00:34:58.690,LOG,HAWKI,whf,whf,whf,bob_near,47,seq,,,,OB finished (TERMINATED) in 15 seconds at 2019-12-18T00:34:58,0,0,,
10,2019-12-18T00:38:34.590,LOG,HAWKI,whf,whf,whf,bob_near,47,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,
11,2019-12-18T00:39:05.142,LOG,HAWKI,whf,whf,whf,bob_near,47,seq,,,,OB finished (TERMINATED) in 31 seconds at 2019-12-18T00:39:05,0,0,,
12,2019-12-18T00:34:43.808,LOG,HAWKI,whf,whf,whf,bob_near,47,seq,,,,OB started at 2019-12-18T00:34:43,0,0,,
13,2019-12-18T00:27:36.549,LOG,HAWKI,whf,whf,whf,bob_near,47,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,
14,2019-12-18T00:55:32.758,LOG,HAWKI,whf,whf,whf,bob_near,47,seq,,,,OB finished (TERMINATED) in 114 seconds at 2019-12-18T00:55:32,0,0,,
15,2019-12-18T01:14:08.665,LOG,HAWKI,whf,whf,whf,bob_near,179,seq,,,,OB started at 2019-12-18T01:14:08,0,0,,
16,2019-12-18T01:15:39.632,LOG,HAWKI,whf,whf,whf,bob_near,179,seq,,,,OB finished (TERMINATED) in 91 seconds at 2019-12-18T01:15:39,0,0,,
17,2019-12-18T01:53:28.086,LOG,HAWKI,whf,whf,whf,bob_ins,219,seq,,,,"SETUP -expoId 1 -function  OBS.DID ""ESO-VLT-DIC.OBS-2.0"" OBS.GRP ""0"" OBS.ID ""-1"" OBS.NAME ""Maintenance"" OBS.PI-COI.ID ""0"" OBS.PI-COI.NAME ""Condor"" OBS.PROG.ID",0,0,,
18,2019-12-18T01:54:24.715,LOG,HAWKI,whf,whf,whf,bob_ins,219,seq,,,,"SETUP -expoId 2 -function  OBS.DID ""ESO-VLT-DIC.OBS-2.0"" OBS.GRP ""0"" OBS.ID ""-1"" OBS.NAME ""Maintenance"" OBS.PI-COI.ID ""0"" OBS.PI-COI.NAME ""Condor"" OBS.PROG.ID",0,0,,
19,2019-12-18T01:19:40.834,LOG,HAWKI,whf,whf,whf,bob_near,179,seq,,,,OB started at 2019-12-18T01:19:40,0,0,,
20,2019-12-18T01:19:40.834,LOG,HAWKI,whf,whf,whf,bob_near,179,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,
21,2019-12-18T01:11:46.376,LOG,HAWKI,whf,whf,whf,bob_near,47,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,
22,2019-12-18T01:20:23.097,LOG,HAWKI,whf,whf,whf,bob_near,179,seq,,,,OB finished (TERMINATED) in 43 seconds at 2019-12-18T01:20:23,0,0,,
23,2019-12-18T02:02:30.094,LOG,HAWKI,whf,whf,whf,bob_near,107,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,
24,2019-12-17T06:49:25.908,LOG,HAWKI,whf,whf,whf,bob_near,169,seq,,,,OB finished (TERMINATED) in 21 seconds at 2019-12-17T06:49:25,0,0,,
