,@timestamp,logtype,system,loghost,hostname,envname,procname,procid,module,keywname,keywvalue,keywmask,logtext,errstack,errstackidx,errlocation,errseverity
0,2020-01-08T06:25:53.480,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB paused at 2020-01-08T06:25:53,0,0,,
1,2020-01-08T06:42:59.109,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,ACK ABORT (red),0,0,,
2,2020-01-08T03:43:07.003,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB finished (TERMINATED) in 695 seconds at 2020-01-08T03:43:06,0,0,,
3,2020-01-08T08:09:58.118,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,ACK ABORT (red),0,0,,
4,2020-01-12T00:46:33.027,LOG,SPHERE,wsre,wsre,wsre,bob_ins,216,seq,,,,OB aborted after 2330 seconds at 2020-01-12T00:46:32,0,0,,
5,2020-01-07T22:32:50.351,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB finished (TERMINATED) in 905 seconds at 2020-01-07T22:32:50,0,0,,
6,2020-01-07T22:17:45.021,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB started at 2020-01-07T22:17:45,0,0,,
7,2020-01-10T09:45:34.986,LOG,SPHERE,wsre,wsre,wsre,bob_ins,191,seq,,,,OB started at 2020-01-10T09:45:34,0,0,,
8,2020-01-10T13:25:29.728,LOG,SPHERE,wsre,wsre,wsre,bob_48504,126,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,
9,2020-01-10T13:50:54.172,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB continued at 2020-01-10T13:50:54,0,0,,
10,2020-01-10T14:28:03.707,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB paused at 2020-01-10T14:28:03,0,0,,
11,2020-01-10T14:28:48.002,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB started at 2020-01-10T14:28:48,0,0,,
12,2020-01-10T15:14:17.420,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB aborted after 1722 seconds at 2020-01-10T15:14:17,0,0,,
13,2020-01-10T15:15:26.259,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB started at 2020-01-10T15:15:26,0,0,,
14,2020-01-10T15:15:26.259,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,(OBS.NAME: Maintenance // OBS.ID: 200313600),0,0,,
15,2020-01-10T15:46:47.760,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,(OBS.NAME: Maintenance // OBS.ID: 200313600),0,0,,
16,2020-01-10T17:18:57.058,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,(OBS.NAME: Maintenance // OBS.ID: 200313600),0,0,,
17,2020-01-10T13:22:12.939,LOG,SPHERE,wsre,wsre,wsre,bob_48504,126,seq,,,,OB started at 2020-01-10T13:22:12,0,0,,
18,2020-01-10T13:35:36.266,LOG,SPHERE,wsre,wsre,wsre,bob_48504,126,seq,,,,OB finished (TERMINATED) in 338 seconds at 2020-01-10T13:35:36,0,0,,
19,2020-01-10T13:38:06.479,LOG,SPHERE,wsre,wsre,wsre,bob_48504,126,seq,,,,OB finished (TERMINATED) in 60 seconds at 2020-01-10T13:38:06,0,0,,
20,2020-01-10T14:14:25.233,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,(OBS.NAME: Maintenance // OBS.ID: 200313600),0,0,,
21,2020-01-10T15:41:03.180,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB paused at 2020-01-10T15:41:03,0,0,,
22,2020-01-10T15:41:34.846,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB aborted after 128 seconds at 2020-01-10T15:41:34,0,0,,
23,2020-01-10T15:41:37.002,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB started at 2020-01-10T15:41:37,0,0,,
24,2020-01-10T15:41:37.002,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,(OBS.NAME: Maintenance // OBS.ID: 200313600),0,0,,
25,2020-01-10T15:44:53.111,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB continued at 2020-01-10T15:44:53,0,0,,
26,2020-01-10T15:44:41.244,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB paused at 2020-01-10T15:44:41,0,0,,
27,2020-01-10T14:22:07.966,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB started at 2020-01-10T14:22:07,0,0,,
28,2020-01-10T14:22:07.966,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,(OBS.NAME: Maintenance // OBS.ID: 200313600),0,0,,
29,2020-01-10T13:49:41.035,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,(OBS.NAME: Maintenance // OBS.ID: 200313600),0,0,,
30,2020-01-10T13:29:05.591,LOG,SPHERE,wsre,wsre,wsre,bob_48504,126,seq,,,,OB finished (TERMINATED) in 51 seconds at 2020-01-10T13:29:05,0,0,,
31,2020-01-10T14:01:12.586,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB aborted after 138 seconds at 2020-01-10T14:01:12,0,0,,
32,2020-01-10T14:10:48.510,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB started at 2020-01-10T14:10:48,0,0,,
33,2020-01-10T14:10:48.510,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,(OBS.NAME: Maintenance // OBS.ID: 200313600),0,0,,
34,2020-01-10T15:53:21.027,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB aborted after 393 seconds at 2020-01-10T15:53:20,0,0,,
35,2020-01-10T15:53:58.041,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,(OBS.NAME: Maintenance // OBS.ID: 200313600),0,0,,
36,2020-01-10T13:08:58.757,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB continued at 2020-01-10T13:08:58,0,0,,
37,2020-01-10T12:24:16.764,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,(OBS.NAME: Maintenance // OBS.ID: 200313600),0,0,,
38,2020-01-10T12:39:17.370,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB paused at 2020-01-10T12:39:17,0,0,,
39,2020-01-10T20:22:28.596,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB started at 2020-01-10T20:22:28,0,0,,
40,2020-01-10T20:22:10.044,LOG,SPHERE,wsre,wsre,wsre,bob_ins,246,seq,,,,OB aborted after 3597 seconds at 2020-01-10T20:22:09,0,0,,
41,2020-01-10T20:29:39.177,LOG,SPHERE,wsre,wsre,wsre,bob_ins,199,seq,,,,(OBS.NAME: Maintenance // OBS.ID: 200313600),0,0,,
42,2020-01-08T19:42:40.142,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB continued at 2020-01-08T19:42:40,0,0,,
43,2020-01-08T20:38:47.816,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB continued at 2020-01-08T20:38:47,0,0,,
44,2020-01-08T20:37:20.144,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB paused at 2020-01-08T20:37:20,0,0,,
45,2020-01-08T20:37:22.436,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB continued at 2020-01-08T20:37:22,0,0,,
46,2020-01-08T21:24:58.571,LOG,SPHERE,wsre,wsre,wsre,bob_ins,136,seq,,,,OB finished (TERMINATED) in 935 seconds at 2020-01-08T21:24:58,0,0,,
47,2020-01-08T19:56:36.575,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB continued at 2020-01-08T19:56:36,0,0,,
48,2020-01-08T20:52:38.970,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB started at 2020-01-08T20:52:38,0,0,,
49,2020-01-08T20:50:27.779,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB aborted after 3343 seconds at 2020-01-08T20:50:27,0,0,,
50,2020-01-08T19:50:28.899,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB aborted after 14057 seconds at 2020-01-08T19:50:28,0,0,,
51,2020-01-08T19:51:43.647,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB continued at 2020-01-08T19:51:43,0,0,,
52,2020-01-08T20:39:24.259,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB paused at 2020-01-08T20:39:24,0,0,,
53,2020-01-08T20:42:38.310,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,OB continued at 2020-01-08T20:42:38,0,0,,
54,2020-01-09T11:23:05.224,LOG,SPHERE,wsre,wsre,wsre,bob_ins,91,seq,,,,OB started at 2020-01-09T11:23:05,0,0,,
55,2020-01-08T08:06:33.132,LOG,SPHERE,wsre,wsre,wsre,bob_ins,220,seq,,,,(OBS.NAME: HD119130-IRDIS-CI-K-field // OBS.ID: 2527235),0,0,,
56,2020-01-09T20:33:31.525,LOG,SPHERE,wsre,wsre,wsre,bob_ins,91,seq,,,,OB paused at 2020-01-09T20:33:31,0,0,,
57,2020-01-09T20:33:50.512,LOG,SPHERE,wsre,wsre,wsre,bob_ins,91,seq,,,,OB aborted after 83 seconds at 2020-01-09T20:33:50,0,0,,
58,2020-01-09T20:56:20.101,LOG,SPHERE,wsre,wsre,wsre,bob_ins,91,seq,,,,OB aborted after 134 seconds at 2020-01-09T20:56:20,0,0,,
